timestamp,decline,decline_rad,tan_decl,cos-1_decl
2020-10-01,-3.6123333048447606,-0.0630471098489891,-0.06313077900223207,1.0019907660539735
2020-10-02,-3.9990487925531353,-0.0697965683779559,-0.06991012908273746,1.0024407344817772
2020-10-03,-4.38498594174714,-0.07653244233715187,-0.07668221556471909,1.002935771714178
2020-10-04,-4.7700453207607865,-0.08325299631662475,-0.08344587495202697,1.0034755672394366
2020-10-05,-5.154126968692251,-0.08995648566951446,-0.0901999213733725,1.0040597720333997
2020-10-06,-5.537130386333558,-0.09664115635374622,-0.09694314502342904,1.0046879980207952
2020-10-07,-5.918954528112733,-0.10330524479139445,-0.10367431061756446,1.0053598175190945
2020-10-08,-6.299497795142981,-0.10994697774736828,-0.11039215586335442,1.0060747626673472
2020-10-09,-6.6786580294549225,-0.11656457222874482,-0.11709538995188142,1.006832324842614
2020-10-10,-7.056332509500227,-0.12315623540629302,-0.12378269207223733,1.0076319540668857
2020-10-11,-7.4324179470152245,-0.12972016455973312,-0.13045270995285738,1.0084730584076327
2020-10-12,-7.806810485334412,-0.13625454704830198,-0.13710405843355625,1.009355003375399
2020-10-13,-8.17940569924042,-0.14275756030813436,-0.14373531807230505,1.0102771113221098
2020-10-14,-8.55009859644805,-0.14922737187816443,-0.15034503379122302,1.011238660844058
2020-10-15,-8.91878362080932,-0.15566213945606408,-0.1569317135663146,1.0122388861937976
2020-10-16,-9.28535465734138,-0.16206001098599693,-0.16349382716600583,1.013276976705475
2020-10-17,-9.649705039161805,-0.16841912477966187,-0.1700298049434833,1.0143520762383833
2020-10-18,-10.011727556439089,-0.1747376096725085,-0.17653803668852652,1.0154632826438579
2020-10-19,-10.371314467444359,-0.1810135852166263,-0.1830168705444049,1.0166096472608686
2020-10-20,-10.728357511807465,-0.1872451619121067,-0.18946461199599074,1.0177901744459863
2020-10-21,-11.082747926068585,-0.19343044147846988,-0.19587952293530006,1.0190038211436503
2020-10-22,-11.434376461625918,-0.19956751716791132,-0.20225982081111438,1.0202494965029603
2020-10-23,-11.783133405169133,-0.2056544741219324,-0.20860367786940776,1.0215260615474495
2020-10-24,-12.128908601699147,-0.2116893897731116,-0.2149092204917644,1.0228323289045853
2020-10-25,-12.471591480216057,-0.21767033429344346,-0.22117452863888157,1.0241670626019133
2020-10-26,-12.811071082178392,-0.223595371091046,-0.2273976354068824,1.025528977937065
2020-10-27,-13.14723609280646,-0.22946255735650753,-0.23357652670383272,1.026916741428937
2020-10-28,-13.479974875326711,-0.23526994466056325,-0.23970914105450028,1.0283289708576173
2020-10-29,-13.809175508227534,-0.2410155796043318,-0.24579336954109443,1.0297642354006886
2020-10-30,-14.13472582560888,-0.24669750452354877,-0.2518270558880956,1.0312210558736987
2020-10-31,-14.456513460691095,-0.25231375824793945,-0.25780799669909826,1.0326979050826055
2020-11-01,-14.595884767465058,-0.25474624643395216,-0.26040379310518286,1.0333489901594557
2020-11-02,-14.912068874848927,-0.26026470015028,-0.26630499400019675,1.0348518492177732
2020-11-03,-15.224215931707231,-0.26571269404286735,-0.2721478854669853,1.0363708175957829
2020-11-04,-15.53221325766538,-0.2710882614681753,-0.277930106244747,1.0379042075053055
2020-11-05,-15.83594820417858,-0.27638943633819946,-0.28364925104169597,1.0394502862650599
2020-11-06,-16.135308216182676,-0.2816142541964807,-0.28930287173557245,1.0410072773974488
2020-11-07,-16.430180897188436,-0.28676075335421414,-0.2948884787748708,1.042573361885943
2020-11-08,-16.720454077831462,-0.2918269760866712,-0.300403542787265,1.0441466795997294
2020-11-09,-17.006015887875314,-0.29681096988989103,-0.30584549640113723,1.0457253308918446
2020-11-10,-17.28675483165116,-0.3017107887973508,-0.31121173628547294,1.0473073783764815
2020-11-11,-17.56255986690783,-0.3065244947561587,-0.3164996254127709,1.0488908488905908
2020-11-12,-17.833320487028306,-0.31125015906200265,-0.3217064955487603,1.0504737356441924
2020-11-13,-18.098926806557547,-0.315885863851892,-0.32682964997191527,1.052054000563072
2020-11-14,-18.359269649967764,-0.32042970365340434,-0.33186636642473316,1.0536295768266737
2020-11-15,-18.614240643573343,-0.3248797869889031,-0.33681390029773034,1.0551983716030695
2020-11-16,-18.863732310488935,-0.32923423803286916,-0.34166948804593245,1.0567582689818753
2020-11-17,-19.10763816850776,-0.33349119832019947,-0.34643035083641954,1.058307133104868
2020-11-18,-19.3458528307597,-0.3376488285030221,-0.35109369842418514,1.059842811492899
2020-11-19,-19.578272108991985,-0.34170531015328426,-0.35565673325220265,1.0613631385664515
2020-11-20,-19.804793119290025,-0.34565884760792903,-0.3601166547700021,1.0628659393558233
2020-11-21,-20.025314390048187,-0.34950766985334086,-0.36447066396374894,1.0643490333956132
2020-11-22,-20.239735971971456,-0.3532500324452367,-0.3687159680890396,1.0658102387966808
2020-11-23,-20.44795954987699,-0.3568842194599711,-0.37284978559614335,1.0672473764873307
2020-11-24,-20.649888556043035,-0.3604085454728485,-0.376869351235705,1.0686582746139297
2020-11-25,-20.845428284836895,-0.3638213575587582,-0.38077192133130444,1.0700407730896673
2020-11-26,-21.03448600833369,-0.36712103731010226,-0.3845547792035492,1.0713927282786133
2020-11-27,-21.2169710926235,-0.3703060028667388,-0.3882152407287803,1.072712017800726
2020-11-28,-21.392795114487917,-0.37337471095237146,-0.3917506600138306,1.0739965454419635
2020-11-29,-21.561871978112958,-0.3763256589115738,-0.3951584351667272,1.0752442461522016
2020-11-30,-21.72411803148953,-0.37915738674136146,-0.3984360141416804,1.076453091112246
2020-12-01,-21.945124276678012,-0.38301467338737033,-0.40291255200450204,1.0781180476009018
2020-12-02,-22.09039030362398,-0.38555004384886826,-0.4058625305861048,1.0792239775569095
2020-12-03,-22.228558241080506,-0.3879615292781743,-0.4086740036180098,1.0802844260810083
2020-12-04,-22.35955665821131,-0.39024788297200774,-0.4113447114882866,1.081297587008027
2020-12-05,-22.48331717938808,-0.39240791155052657,-0.4138724764529655,1.0822617182388512
2020-12-06,-22.59977458963739,-0.39444047679772287,-0.4162552083584952,1.083175146726315
2020-12-07,-22.70886693693769,-0.3963444974468422,-0.4184909102424227,1.08403627335783
2020-12-08,-22.810535630982994,-0.39811895090413546,-0.420577683783502,1.084843577709107
2020-12-09,-22.904725538027957,-0.3997628749042175,-0.42251373457233127,1.0855956226432835
2020-12-10,-22.991385071439797,-0.4012753690904961,-0.42429737717395155,1.086291058729977
2020-12-11,-23.07046627759257,-0.40265559651431043,-0.4259270399543561,1.0869286284592379
2020-12-12,-23.141924916753453,-0.40390278504666244,-0.4274012696436389,1.0875071702260148
